Class;First_Name;Last_name;Missing_Tasks;Rating;email
3A;Tom;Hanks;3;4;tom.hanks@gamil.com
3A;Penelope;Cruse;1;5;p.cruse@ibm.com
3A;Martin;Rodrigez;3;3;martisur@hh.org
3A;Daniel;Kozminski;2;5;asdswsdd999@usapic.com
3A;Elizabeth;Kudero;3;3;elizabet.kudero@ibm.com
3A;Monic;Waski;4;4;m.was@wer.com
4B;David;Estar;0;6;d.star@gmail.com
4B;Mat;Bill;0;4;billmat@fodo.com
5C;Edmund;Walkir;0;5;edmund.tt@wp.pl
6G;Robert;Klestard;3;5;r.cres@gmail.com
6G;Jesica;Miner;4;6;jesica221122@gmail.com
7C;Marina;Lewacki;1;4;elimat@wp.pl
7G;Mati;Rel;2;6;matirel@gamail.com
7A;Kamil;Wozniak;3;5;k.wozniak@gmial.com
